taxon_no,orig_no,taxon_name,taxon_rank,orig_name,orig_rank,reference_no,in_529,inferred_reason
41335,96678,Otariidae,tribe,Otariina,tribe,24556,no,spelling variant (correction/misspelling)
44439,45935,Barbouromeryx parvus,species,Dromomeryx parvus,species,6222,yes,recombination
44781,46032,Calomys arizonae,species,Eligmodontia arizonae,species,30191,yes,recombination
44859,52684,Canis littoralis,species,Vulpes littoralis,species,6221,yes,recombination
45071,47156,Choeropotamus americanus,species,Hyopotamus americanus,species,2711,yes,recombination
45324,48284,Cosoryx loxocerus,species,Merycodus loxocerus,species,1566,yes,recombination
45325,48287,Cosoryx nevadensis,species,Merycodus nevadensis,species,57363,yes,recombination
45602,51005,Desmatoclaenus spiekeri,species,Protogonodon spiekeri,species,3485,yes,recombination
46591,46374,Genetochoerus dickinsonensis,species,Eucrotaphus dickinsonensis,species,56847,yes,recombination
46711,48678,Goniacodon gaudrianus,species,Mioclaenus gaudrianus,species,7016,yes,recombination
46860,43767,Hemicyon johnhenryi,species,Aelurodon johnhenryi,species,6559,yes,recombination
47228,51024,Hypohippus pachyops,species,Protohippus pachyops,species,53742,yes,recombination
47538,50364,Leptauchenia brevifacies,species,Pithecistes brevifacies,species,37584,no,recombination
47543,46762,Leptauchenia eiselyi,species,Hadroleptauchenia eiseleyi,species,3069,yes,unclear (multiple changes)
47552,51171,Leptauchenia orellaensis,species,Pseudocyclopidius orellaensis,species,3069,yes,recombination
48199,51030,Merychippus profectus,species,Protohippus profectus,species,2702,yes,recombination
48719,44059,Miohippus exoletum,species,Anchitherium exoletum,species,2712,yes,recombination
48734,44069,Miohippus westoni,species,Anchitherium westoni,species,56837,yes,recombination
48744,50630,Miolabis sternbergi,species,Poebrotherium sternbergii,species,53289,yes,unclear (multiple changes)
49315,46847,Omomys gracilis,species,Hemiacodon gracilis,species,57294,yes,recombination
49326,46261,Onager complicatus,species,Equus complicatus,species,1627,yes,recombination
49400,50021,Oreodontoides marshi,species,Paroreodon marshi,species,3410,yes,recombination
49488,49386,Otionohyus bullatus,species,Oreodon bullatus,species,12636,yes,recombination
49489,46227,Otionohyus cedrensis,species,Eporeodon cedrensis,species,24920,yes,recombination
49490,49390,Otionohyus hybridus,species,Oreodon hybridus,species,3425,yes,recombination
49822,45092,Paradoxodon ruetimeyerianus,species,Chriacus ruetimeyerianus,species,7016,yes,recombination
49870,49393,Paramerycoidodon major,species,Oreodon major,species,3410,yes,recombination
50529,51009,Pliohippus castilli,species,Protohippus castilli,species,3235,yes,recombination
50652,44678,Potamotherium pachycephalus,species,Brachypsalis pachycephalus,species,24204,yes,recombination
51065,50630,Protomeryx sternbergi,species,Poebrotherium sternbergii,species,53289,yes,unclear (multiple changes)
51298,48277,Ramoceros coronatus,species,Merycodus coronatus,species,57364,yes,recombination
